tconst,originalTitle,weightedAverage,soup
tt0024216,King Kong,7.810272455901829,adventure horror nm0178260 nm0774325 nm0942039 nm0035877 nm0127677 nm0717046 nm0362742
tt0024264,Little Women,6.804435578871934,drama family romance nm0002030 nm0000031 nm0000910 nm0510134 nm0646829 nm0662335
tt0024368,Mystery of the Wax Museum,6.536593493298553,horror mystery thriller nm0002031 nm0041172 nm0942039 nm0268225 nm0570451 nm0898573
tt0024481,Queen Christina,7.0144117285122904,biography drama romance nm0541149 nm0001256 nm0318105 nm0445246 nm0832011 nm0949515
tt0024548,She Done Him Wrong,6.248806493375548,comedy drama history nm0792514 nm0922213 nm0000026 nm0601698 nm0738042 nm0001935
tt0024593,The Son of Kong,5.879884897370265,adventure family horror nm0774325 nm0035877 nm0532997 nm0717046 nm0551356 nm0519225
tt0024601,Sons of the Desert,7.046495833633205,comedy family nm0782682 nm0491048 nm0001316 nm0153713 nm0123994 nm0160685
tt0024803,Zéro de conduite : Jeunes diables au collège,6.843912186840314,drama nm0897118 nm0202120 nm0494276 nm0498882 nm0238994 nm0217787
tt0024844,L'Atalante,7.361212268157124,comedy drama romance nm0897118 nm0663077 nm0202120 nm0546621 nm0498882 nm0318888
tt0024852,Babes in Toyland,6.73252202600561,comedy family fantasy nm0576940 nm0736778 nm0491048 nm0001316 nm0439852 nm0377766 nm0460901
tt0024894,The Black Cat,6.699154451752567,crime horror romance nm0880618 nm0000472 nm0000509 nm0543115 nm0084098 nm0106504
tt0025164,The Gay Divorcee,6.951665631657882,comedy musical romance nm0762263 nm0000001 nm0001677 nm0103567 nm0002143 nm0722424
tt0025301,Imitation of Life,6.878778913971314,comedy drama romance nm0821472 nm0001055 nm0929925 nm0399955 nm0817021 nm0064792
tt0025316,It Happened One Night,8.018052459823167,comedy romance nm0001008 nm0000022 nm0001055 nm0175369 nm0439850 nm0858977
tt0025318,It's a Gift,6.671025293877389,comedy nm0572851 nm0001211 nm0397427 nm0746169 nm0534985 nm0120675
tt0025452,The Man Who Knew Too Much,6.600063942737978,crime mystery thriller nm0000033 nm0052203 nm0078923 nm0000048 nm0903687 nm0906775
tt0025586,Of Human Bondage,6.692605601307383,drama film-noir romance nm0188669 nm0000012 nm0001366 nm0214168 nm0425512 nm0219666
tt0025746,The Scarlet Empress,6.959470158705046,drama history romance nm0903049 nm0000017 nm0517099 nm0415488 nm0237571
tt0025862,Tarzan and His Mate,6.7160667939760215,action adventure romance nm0316539 nm0570985 nm0176699 nm0919321 nm0001577 nm0358076 nm0146905 nm0367516
tt0025878,The Thin Man,7.670614796419669,comedy crime mystery nm0886754 nm0001635 nm0001485 nm0001577 nm0671738 nm0326809
tt0025913,Triumph des Willens,6.902158740634603,documentary history nm0726166 nm0386944 nm0351425 nm0023907 nm0097006 nm0117944
tt0025919,Twentieth Century,6.841649601167656,comedy romance nm0001328 nm0000858 nm0001479 nm0175369 nm0439850 nm0285391
tt0026029,The 39 Steps,7.493119684804513,crime mystery thriller nm0000033 nm0232196 nm0140914 nm0543169 nm0853607 nm0001919
tt0026071,Anna Karenina,6.618725035908907,drama romance nm0113284 nm0001256 nm0545298 nm0000861 nm0001577 nm0733480
tt0026138,Bride of Frankenstein,7.66077828838265,drama horror sci-fi nm0001843 nm0000472 nm0006471 nm0166972 nm0387753
