tconst,originalTitle,weightedAverageScales,soup
tt0020640,Animal Crackers,0.7637026453061796,comedy family musical nm0373511 nm0000050 nm0555617 nm0555597 nm2580347 nm0555688
tt0020697,Der blaue Engel,0.7899718775680173,drama music romance nm0903049 nm0417837 nm0000017 nm0314777 nm0884665 nm0002161
tt0020960,Hell's Angels,0.7303310848590627,drama war nm0400652 nm0332539 nm0001843 nm0528908 nm0355671 nm0001318 nm0201690 nm0698139
tt0021079,Little Caesar,0.7464815191346499,action crime drama nm0503777 nm0000064 nm0001195 nm0268225 nm0171873
tt0021156,Morocco,0.7176498607794652,drama romance nm0903049 nm0000011 nm0000017 nm0579663 nm0369443 nm0816123
tt0021165,Murder!,0.6722504298200391,crime mystery thriller nm0000033 nm0003339 nm0054689 nm0042496 nm0152361 nm0541766
tt0021331,Le sang d'un poète,0.7365583423970287,fantasy nm0168413 nm0729463 nm0998525 nm0142120 nm0847851 nm0220945
tt0021571,Zemlya,0.7263875777617693,drama nm0235590 nm0794548 nm0840935 nm0813216 nm0538791 nm0618858
tt0021577,L'âge d'or,0.7468665874559198,comedy drama nm0000320 nm0595321 nm0529227 nm0479475 nm0259722
tt0021746,Cimarron,0.6409856124604972,drama western nm0749484 nm0228715 nm0002050 nm0852347 nm0642042 nm0171873
tt0021749,City Lights,0.9082963825240765,comedy drama romance nm0000122 nm0000122 nm0156039 nm5681967 nm0616729 nm0305087
tt0021814,Dracula,0.7858259650503792,drama fantasy horror nm0115218 nm0005713 nm0000509 nm0151377 nm0543115 nm0296859 nm0888000
tt0021815,Drácula,0.7092988911330258,drama fantasy horror nm0577654 nm0898107 nm0869830 nm0636161 nm0959363 nm0037060
tt0021884,Frankenstein,0.8288950367096835,drama horror sci-fi nm0001843 nm0166972 nm0164883 nm0000472 nm0092900 nm0888000
tt0022100,M - Eine Stadt sucht einen Mörder,0.8864095952603781,crime mystery thriller nm0000485 nm0000048 nm0927145 nm0484737 nm0921532 nm0519765
tt0022158,Monkey Business,0.7620399517025985,comedy family musical nm0572851 nm0000050 nm0555617 nm2580347 nm0555597 nm0555688
tt0022286,The Public Enemy,0.7903641330802227,crime drama nm0920074 nm0000010 nm0001318 nm0940589 nm0000951 nm0007219
tt0022458,Tabu: A Story of the South Seas,0.7383883023281236,adventure drama romance nm0003638 nm0156617 nm0558038 nm0386979 nm0051447 nm1408518
tt0022698,Blonde Venus,0.7171443581770505,drama nm0903049 nm0000017 nm0000026 nm0003339 nm0601129 nm0604674
tt0022718,Boudu sauvé des eaux,0.7255308767821308,comedy nm0719756 nm0800302 nm0354325 nm0503495 nm0311790 nm0197589
tt0022835,Dr. Jekyll and Mr. Hyde,0.7809025468483499,horror sci-fi nm0541149 nm0545298 nm0394244 nm0387556 nm0378555
tt0022879,A Farewell to Arms,0.6784125399310331,drama romance war nm0097648 nm0000011 nm0371040 nm0579663 nm0680102 nm0479011
tt0022913,Freaks,0.8235010771689638,drama horror nm0115218 nm0285922 nm0404885 nm0045754 nm0040374 nm0896109
tt0022958,Grand Hotel,0.762058262403734,drama romance nm0332539 nm0001256 nm0000858 nm0001076 nm0000891 nm0000859
tt0023027,Horse Feathers,0.7682346277572573,comedy family musical nm0572851 nm0000050 nm0555597 nm0555617 nm2580347 nm0555688
tt0023042,I Am a Fugitive from a Chain Gang,0.826259467746451,crime drama film-noir nm0503777 nm0612847 nm0268225 nm0899091 nm0290271 nm0288003
tt0023238,The Most Dangerous Game,0.737770524968295,action adventure horror nm0681635 nm0774325 nm0566948 nm0942039 nm0052203 nm0035877 nm0425903
tt0023245,The Mummy,0.740527973020866,fantasy horror nm0005713 nm0000472 nm0423685 nm0543115 nm0126365 nm0888000
tt0023249,Murders in the Rue Morgue,0.6713493645279907,crime horror mystery nm0282984 nm0000509 nm0289253 nm0000748 nm0729991 nm0164664
tt0023285,Number Seventeen,0.637818245751573,crime mystery thriller nm0000033 nm0513325 nm0340514 nm0835738 nm0130740 nm0427543
tt0023293,The Old Dark House,0.728671146532491,adventure comedy drama nm0001843 nm0000472 nm0002048 nm0001452 nm0001784 nm0093988
tt0023427,Scarface,0.8052478858308492,action crime drama nm0001328 nm0744514 nm0612847 nm0245304 nm0605904 nm0674019 nm0330059
tt0023458,Shanghai Express,0.7460162890155566,adventure drama film-noir nm0903049 nm0000017 nm0111612 nm0938923 nm0645941 nm0657874
tt0023551,Tarzan the Ape Man,0.7129368935951775,action adventure romance nm0886754 nm0919321 nm0358076 nm0807580 nm0001577 nm0515967
tt0023563,Das Testament des Dr. Mabuse,0.8001187584033458,crime mystery thriller nm0000485 nm0459030 nm0921532 nm0099786 nm0226158 nm0771869
tt0023622,Trouble in Paradise,0.806240500045937,comedy crime romance nm0523932 nm0394244 nm0290215 nm0003339 nm0749476 nm0002143
tt0023634,Otona no miru ehon - Umarete wa mita keredo,0.7673076965508832,comedy drama nm0654868 nm0756870 nm0031832 nm0948989 nm0837424 nm0757104
tt0023649,Vampyr,0.7703907171426783,fantasy horror nm0003433 nm0922170 nm0776914 nm0541675 nm0773525 nm0383188
tt0023694,White Zombie,0.6663004650897744,horror nm0356931 nm0000509 nm0068705 nm0147248 nm0292537 nm0366002
tt0023775,Baby Face,0.7528787583404106,drama romance nm0337586 nm0001766 nm0107575 nm0007219 nm0262080 nm0464137
tt0023876,Cavalcade,0.642452089784578,drama romance war nm0515979 nm0944087 nm0111612 nm0640547 nm0612743 nm0580240
tt0023940,Design for Living,0.7446108299201205,comedy mystery romance nm0523932 nm0545298 nm0000011 nm0394244 nm0002143 nm0659427
tt0023948,Dinner at Eight,0.7561471768235166,drama nm0002030 nm0237597 nm0000858 nm0000891 nm0001318 nm0000859
tt0023969,Duck Soup,0.8163441535346856,comedy musical nm0564970 nm0000050 nm0555617 nm0555597 nm0555688 nm2580347
tt0024028,Footlight Parade,0.7427573946294616,comedy musical romance nm0045800 nm0000010 nm0000951 nm0444528 nm0694090 nm0570451
tt0024034,42nd Street,0.7519100040431947,comedy drama musical nm0045800 nm0062828 nm0199841 nm0107575 nm0444528 nm0452128
tt0024069,Gold Diggers of 1933,0.7705326025185271,comedy drama musical nm0503777 nm0929925 nm0000951 nm0533956 nm0444528 nm0694090
tt0024184,The Invisible Man,0.8006581234794514,horror sci-fi nm0001843 nm0001647 nm0001784 nm0364203 nm0871287 nm0640547
tt0024188,Island of Lost Souls,0.7548028420744316,film-noir horror sci-fi nm0448915 nm0001452 nm0000509 nm0035159 nm0404885 nm0121753
tt0024216,King Kong,0.8403014204503662,adventure horror nm0178260 nm0774325 nm0942039 nm0035877 nm0127677 nm0717046 nm0362742
tt0024264,Little Women,0.7320841769058211,drama family romance nm0002030 nm0000031 nm0000910 nm0510134 nm0646829 nm0662335
tt0024368,Mystery of the Wax Museum,0.7032672455843499,horror mystery thriller nm0002031 nm0041172 nm0942039 nm0268225 nm0570451 nm0898573
tt0024481,Queen Christina,0.7546753551009122,biography drama romance nm0541149 nm0001256 nm0318105 nm0445246 nm0832011 nm0949515
tt0024548,She Done Him Wrong,0.6723044557216591,comedy drama history nm0792514 nm0922213 nm0000026 nm0601698 nm0738042 nm0001935
tt0024593,The Son of Kong,0.6326124548460942,adventure family horror nm0774325 nm0035877 nm0532997 nm0717046 nm0551356 nm0519225
tt0024601,Sons of the Desert,0.7581272601732648,comedy family nm0782682 nm0491048 nm0001316 nm0153713 nm0123994 nm0160685
tt0024803,Zéro de conduite : Jeunes diables au collège,0.7363314358763229,drama nm0897118 nm0202120 nm0494276 nm0498882 nm0238994 nm0217787
tt0024844,L'Atalante,0.7919873679304131,comedy drama romance nm0897118 nm0663077 nm0202120 nm0546621 nm0498882 nm0318888
tt0024852,Babes in Toyland,0.7243470510930664,comedy family fantasy nm0576940 nm0736778 nm0491048 nm0001316 nm0439852 nm0377766 nm0460901
tt0024894,The Black Cat,0.7207570585287701,crime horror romance nm0880618 nm0000472 nm0000509 nm0543115 nm0084098 nm0106504
tt0025164,The Gay Divorcee,0.7479245490807415,comedy musical romance nm0762263 nm0000001 nm0001677 nm0103567 nm0002143 nm0722424
tt0025301,Imitation of Life,0.7400827211867982,comedy drama romance nm0821472 nm0001055 nm0929925 nm0399955 nm0817021 nm0064792
tt0025316,It Happened One Night,0.8626563169564859,comedy romance nm0001008 nm0000022 nm0001055 nm0175369 nm0439850 nm0858977
tt0025318,It's a Gift,0.7177306632971002,comedy nm0572851 nm0001211 nm0397427 nm0746169 nm0534985 nm0120675
tt0025452,The Man Who Knew Too Much,0.7100959841618716,crime mystery thriller nm0000033 nm0052203 nm0078923 nm0000048 nm0903687 nm0906775
tt0025586,Of Human Bondage,0.7200524725668238,drama film-noir romance nm0188669 nm0000012 nm0001366 nm0214168 nm0425512 nm0219666
tt0025746,The Scarlet Empress,0.7487642323569272,drama history romance nm0903049 nm0000017 nm0517099 nm0415488 nm0237571
tt0025862,Tarzan and His Mate,0.7225766448842721,action adventure romance nm0316539 nm0570985 nm0176699 nm0919321 nm0001577 nm0358076 nm0146905 nm0367516
tt0025878,The Thin Man,0.8252757564543614,comedy crime mystery nm0886754 nm0001635 nm0001485 nm0001577 nm0671738 nm0326809
tt0025913,Triumph des Willens,0.7425981393960822,documentary history nm0726166 nm0386944 nm0351425 nm0023907 nm0097006 nm0117944
tt0025919,Twentieth Century,0.7360880059620196,comedy romance nm0001328 nm0000858 nm0001479 nm0175369 nm0439850 nm0285391
tt0026029,The 39 Steps,0.8061791890483796,crime mystery thriller nm0000033 nm0232196 nm0140914 nm0543169 nm0853607 nm0001919
tt0026071,Anna Karenina,0.7121037173347188,drama romance nm0113284 nm0001256 nm0545298 nm0000861 nm0001577 nm0733480
tt0026138,Bride of Frankenstein,0.8242174538506497,drama horror sci-fi nm0001843 nm0000472 nm0006471 nm0166972 nm0387753
tt0026174,Captain Blood,0.7896128646341412,action adventure history nm0002031 nm0001224 nm0000014 nm0041172 nm0001651 nm0018717
tt0026529,The Informer,0.7421395596948129,crime drama nm0000406 nm0572142 nm0029456 nm0288003 nm0334375 nm0285922
tt0026663,Mad Love,0.7240411361514165,horror romance sci-fi nm0005713 nm0000048 nm0236903 nm0166972 nm0372384 nm0352774
tt0026685,Mark of the Vampire,0.6658677562139241,horror mystery nm0115218 nm0000859 nm0019922 nm0000509 nm0041172 nm0380965
tt0026752,Mutiny on the Bounty,0.7920422933136116,adventure biography drama nm0515979 nm0001452 nm0000022 nm0867144 nm0612743 nm0703600
tt0026778,A Night at the Opera,0.8172411737310767,comedy music musical nm0939992 nm0332539 nm0000050 nm0555597 nm0555617 nm0137634 nm0427452
tt0026912,The Raven,0.7028343926153133,crime horror nm0484645 nm0000472 nm0000509 nm0560091 nm0912115
tt0027075,A Tale of Two Cities,0.7619300892388944,drama history romance nm0176699 nm0502752 nm0172903 nm0019922 nm0646829 nm0654239 nm0001651
tt0027125,Top Hat,0.7965774419326269,comedy musical romance nm0762263 nm0000001 nm0001677 nm0002143 nm0722424 nm0089314
tt0027194,Werewolf of London,0.6720474408671996,drama fantasy horror nm0908234 nm0401434 nm0645941 nm0387753 nm0560091 nm0335517
tt0027260,After the Thin Man,0.7729780015165154,comedy crime mystery nm0886754 nm0001635 nm0001485 nm0000071 nm0484748 nm0130407
tt0027438,The Charge of the Light Brigade,0.7108870895288855,action adventure romance nm0002031 nm0001224 nm0000014 nm0461549 nm0827261 nm0115558
tt0027532,Dodsworth,0.7745568811237146,drama romance nm0943758 nm0404158 nm0154183 nm0510134 nm0000802 nm0000057
tt0027545,Dracula's Daughter,0.6727173028526348,drama fantasy horror nm0385171 nm0472603 nm0390192 nm0161451 nm0888000 nm0256298
tt0027652,Fury,0.7925700333152261,crime drama film-noir nm0000485 nm0796662 nm0000075 nm0008496 nm0127677 nm0254818
tt0027698,The Great Ziegfeld,0.6938194612223325,drama musical nm0502752 nm0001635 nm0001485 nm0707023 nm0604656 nm0108511
tt0027884,Libeled Lady,0.7764799154768639,comedy romance nm0176699 nm0001318 nm0001635 nm0001485 nm0000075 nm0175369
tt0027977,Modern Times,0.9097865329864859,comedy drama romance nm0000122 nm0000122 nm0002104 nm0074788 nm0761866 nm0174682
tt0027996,Mr. Deeds Goes to Town,0.8082634899405853,comedy drama romance nm0001008 nm0000011 nm0000795 nm0051628 nm0822034 nm0241523
tt0028010,My Man Godfrey,0.8204929787547113,comedy drama romance nm0478441 nm0001635 nm0001479 nm0103567 nm0665850 nm0657874
tt0028096,The Petrified Forest,0.7712273908933532,drama thriller nm0562845 nm0001366 nm0000007 nm0000012 nm0864931 nm0285264
tt0028212,Sabotage,0.734483252507249,crime thriller nm0000033 nm0796662 nm0393028 nm0856469 nm0517058 nm0053829
tt0028216,San Francisco,0.7250798637412701,drama music romance nm0886754 nm0000022 nm0531776 nm0000075 nm0392442 nm0707771
tt0028231,Secret Agent,0.680018146004919,mystery thriller nm0000033 nm0000024 nm0140914 nm0001870 nm0000048 nm0549385
tt0028333,Swing Time,0.7705880161764284,comedy musical romance nm0828419 nm0000001 nm0001677 nm0602005 nm0110813 nm0089314
tt0028346,Tell Your Children,0.4909053128486468,comedy crime drama nm0309163 nm0795044 nm0185924 nm0587178 nm0639495 nm0925509
tt0028358,Things to Come,0.6939142201368718,drama sci-fi war nm0580017 nm0557339 nm0152361 nm0724732
tt0028597,The Awful Truth,0.7973827518387095,comedy romance nm0564970 nm0002050 nm0000026 nm0000897 nm0195422 nm0192258
tt0028683,Camille,0.7414565194099002,drama romance nm0002030 nm0001256 nm0001791 nm0000859 nm0019922 nm0707771
tt0028691,Captains Courageous,0.7917558574687021,adventure drama family nm0281808 nm0000075 nm0000861 nm0000859 nm0002048 nm0335788
tt0028772,A Day at the Races,0.7705768874994178,comedy family musical nm0939992 nm0000050 nm0555597 nm0555617 nm0427452 nm0001577
tt0028773,Dead End,0.7341443168010692,crime drama film-noir nm0943758 nm0796662 nm0566948 nm0000007 nm0057412 nm0872456
tt0028944,The Good Earth,0.7385550981792982,drama romance nm0291548 nm0281808 nm0532561 nm0939992 nm0612847 nm0707023 nm0175369 nm0521300 nm0335788
tt0028950,La grande illusion,0.8478913251142565,drama war nm0719756 nm0300064 nm0663077 nm0294382 nm0002233 nm0136853
tt0029146,The Life of Emile Zola,0.7353917523859674,biography drama nm0226189 nm0612847 nm0814216 nm0771584 nm0390192 nm0187981
tt0029162,Lost Horizon,0.7783404832157533,adventure drama fantasy nm0001008 nm0172903 nm0943553 nm0002143 nm0397397 nm0593775
tt0029192,Make Way for Tomorrow,0.8073014301239649,drama romance nm0564970 nm0602005 nm0094135 nm0047810 nm0593775 nm0356004
tt0029284,My Favorite Wife,0.7488245862822688,comedy romance nm0437717 nm0002050 nm0000026 nm0000068 nm0665850 nm0794700
tt0029322,Nothing Sacred,0.7042788831783281,comedy drama fantasy nm0920074 nm0001479 nm0545298 nm0935415 nm0175369 nm0750079
tt0029442,The Prisoner of Zenda,0.741635807529314,adventure drama romance nm0188669 nm0886754 nm0172903 nm0140914 nm0807580 nm0557339
tt0029453,Pépé le Moko,0.7657677323484469,crime drama romance nm0245213 nm0300064 nm0300388 nm0264692 nm0153457 nm0340854
tt0029546,Shall We Dance,0.7449876316342017,comedy musical romance nm0762263 nm0000001 nm0001677 nm0002143 nm0089314 nm0184578
tt0029604,Stage Door,0.770020756133585,comedy drama romance nm0478441 nm0000031 nm0001677 nm0579663 nm0665850 nm0171887
tt0029606,A Star Is Born,0.7473888407044379,drama romance nm0920074 nm0176699 nm0281808 nm0310980 nm0545298 nm0579663 nm0733480 nm0222596
tt0029608,Stella Dallas,0.7378249707990787,drama romance nm0896542 nm0001766 nm0092900 nm0794297 nm0641966 nm0002118
tt0029682,Topper,0.7333421889225912,comedy fantasy romance nm0572851 nm0000026 nm0000909 nm0950019 nm0000992 nm0610253
tt0029747,Way Out West,0.7629796566499069,comedy family western nm0395023 nm0491048 nm0001316 nm0528800 nm0278006 nm0493005
tt0029808,You Only Live Once,0.7311459802667084,crime drama film-noir nm0000485 nm0796662 nm0000020 nm0533692 nm0228863 nm0307326
tt0029811,Young and Innocent,0.7104727411651914,crime mystery romance nm0000033 nm0683345 nm0210116 nm0549385 nm0726585 nm0163515
tt0029843,The Adventures of Robin Hood,0.8343827359911713,action adventure romance nm0002031 nm0445033 nm0001224 nm0000014 nm0001651 nm0001647 nm0461549
tt0029850,Aleksandr Nevskiy,0.7656893976307394,action biography drama nm0001178 nm0890565 nm0003540 nm0645613 nm0009372 nm0650115 nm0637133
tt0029870,Angels with Dirty Faces,0.8170982778013018,crime drama film-noir nm0002031 nm0000010 nm0002285 nm0000007 nm0792130 nm0051628
tt0029942,Boys Town,0.7261836830498837,biography drama family nm0851537 nm0000075 nm0001682 nm0401434 nm0272059 nm0721728
tt0029947,Bringing Up Baby,0.8269199226374082,comedy nm0001328 nm0000031 nm0000026 nm0749476 nm0146185 nm0280178
tt0029957,La bête humaine,0.7538971027255801,crime drama nm0719756 nm0300064 nm0136853 nm0800386 nm0496614 nm0116558
tt0029992,A Christmas Carol,0.7551540312444884,drama family fantasy nm0547446 nm0654239 nm0516876 nm0516883 nm0452953 nm0533131
tt0030241,Holiday,0.7932019995942383,comedy romance nm0002030 nm0000031 nm0000026 nm0461615 nm0000817 nm0002143
tt0030287,Jezebel,0.7633613071029386,drama romance nm0943758 nm0000012 nm0000020 nm0107575 nm0512267 nm0187981
tt0030341,The Lady Vanishes,0.8152613051923794,mystery thriller nm0000033 nm0516994 nm0714878 nm0510134 nm0926599 nm0662116
tt0030522,Olympia 1. Teil - Fest der Völker,0.7484346411469043,documentary sport nm0726166 nm0017049 nm3935741 nm0073596 nm3858448 nm3858968
tt0030637,Pygmalion,0.7725772260664561,comedy drama romance nm0002190 nm0001366 nm0001366 nm0384908 nm0493347 nm0517919 nm0839152
tt0030643,Le quai des brumes,0.7736893518460068,crime drama romance nm0138893 nm0300064 nm0800302 nm0006807 nm0105482 nm0217612
tt0030696,Room Service,0.6885057287690753,comedy nm0782682 nm0000050 nm0555617 nm0555597 nm0000840 nm0587900
tt0030993,You Can't Take It with You,0.8126710414590914,comedy drama romance nm0001008 nm0000795 nm0000071 nm0000859 nm0036427 nm0041681
tt0031022,The Adventures of Sherlock Holmes,0.7369460804338742,crime mystery thriller nm0921288 nm0001651 nm0115558 nm0526946 nm0550701 nm0452953
tt0031047,Another Thin Man,0.7395143804162436,comedy crime mystery nm0886754 nm0001635 nm0001485 nm0340706 nm0472603 nm0807580
tt0031060,At the Circus,0.7023830189481581,comedy musical nm0125636 nm0000050 nm0555597 nm0555617 nm0048653 nm0723422
tt0031088,Beau Geste,0.7451566519855477,action adventure drama nm0920074 nm0000011 nm0001537 nm0696481 nm0002046 nm0001333
tt0031210,Dark Victory,0.7583570167674478,drama romance nm0332539 nm0000012 nm0107575 nm0000007 nm0280242 nm0001654
tt0031225,Destry Rides Again,0.7740676953517633,comedy western nm0550892 nm0000017 nm0000071 nm0041681 nm0935415 nm0002046
tt0031235,Dodge City,0.7177478110104387,western nm0002031 nm0001224 nm0000014 nm0792130 nm0127677 nm0570451
